,aclose
2015-03-27,102.9043
2015-04-02,102.9364
2015-04-10,104.4825
2015-04-17,103.0775
2015-04-24,108.922
2015-05-01,111.4176
2015-05-08,111.6294
2015-05-15,112.0044
2015-05-22,111.332
2015-05-29,109.6707
2015-06-05,108.2161
2015-06-12,107.9511
2015-06-19,107.9511
2015-06-26,106.962
2015-07-02,106.7228
2015-07-10,107.9252
2015-07-17,111.5195
2015-07-24,103.2708
2015-07-31,104.7188
2015-08-07,101.1116
2015-08-14,101.5223
2015-08-21,97.0247
2015-08-28,96.4576
2015-09-04,93.6678
2015-09-11,96.06
2015-09-18,94.1957
2015-09-25,94.7889
2015-10-02,94.2414
2015-10-09,99.3322
2015-10-16,98.0285
2015-10-23,94.3066
2015-10-30,91.3081
2015-11-06,90.9627
2015-11-13,86.686
2015-11-20,91.1272
2015-11-27,91.1008
2015-12-04,92.397
2015-12-11,88.5414
2015-12-18,88.7585
2015-12-24,90.9627
2015-12-31,90.5482
2016-01-08,86.607
2016-01-15,85.5543
2016-01-22,80.5998
2016-01-29,82.1066
2016-02-05,84.5936
2016-02-12,80.4546
2016-02-19,88.4575
2016-02-26,87.7595
2016-03-04,91.5948
2016-03-11,94.6258
2016-03-18,97.7698
2016-03-24,98.3415
2016-04-01,101.3791
2016-04-08,99.272
2016-04-15,100.8474
2016-04-22,98.7071
2016-04-29,97.0054
2016-05-06,98.8333
2016-05-13,99.1219
2016-05-20,98.8065
2016-05-27,102.5575
2016-06-03,102.591
2016-06-10,102.2421
2016-06-17,101.9871
2016-06-24,98.3636
2016-07-01,102.2287
2016-07-08,103.6445
2016-07-15,107.2143
2016-07-22,108.7509
2016-07-29,107.7779
2016-08-05,109.7104
2016-08-12,109.6093
2016-08-19,108.3166
2016-08-26,107.1525
2016-09-02,107.9849
2016-09-09,105.3724
2016-09-16,104.1203
2016-09-23,104.8919
2016-09-30,107.5112
2016-10-07,105.3589
2016-10-14,104.5332
2016-10-21,101.271
2016-10-28,103.2879
2016-11-04,103.166
2016-11-11,110.1338
2016-11-18,109.5329
2016-11-25,111.4109
2016-12-02,109.2802
2016-12-09,113.7191
2016-12-16,113.8625
2016-12-23,113.8489
2016-12-30,113.3572
2017-01-06,115.7747
2017-01-13,114.2791
2017-01-20,116.4713
2017-01-27,121.081
2017-02-03,120.0702
2017-02-10,122.9931
2017-02-17,124.3629
2017-02-24,124.831
2017-03-03,123.9361
2017-03-10,122.408
2017-03-17,120.9074
2017-03-24,119.6546
2017-03-31,119.868
2017-04-07,118.4913
2017-04-13,116.6948
2017-04-21,110.3964
2017-04-28,110.3345
2017-05-05,106.7276
2017-05-12,104.5207
2017-05-19,105.6398
2017-05-26,105.9943
2017-06-02,105.6884
2017-06-09,107.1134
2017-06-16,108.0031
2017-06-23,107.1203
2017-06-30,106.9257
2017-07-07,106.3071
2017-07-14,107.2107
2017-07-21,102.2338
2017-07-28,100.2945
2017-08-04,100.8993
2017-08-11,99.6322
2017-08-18,98.129
2017-08-25,100.9668
2017-09-01,101.2056
2017-09-08,100.0607
2017-09-15,101.7254
2017-09-22,101.9432
2017-09-29,101.9081
2017-10-06,102.8915
2017-10-13,103.327
2017-10-20,113.8423
2017-10-27,107.9489
2017-11-03,106.4738
2017-11-10,105.8196
2017-11-17,105.6848
2017-11-24,107.7209
2017-12-01,109.7925
2017-12-08,109.8279
2017-12-15,108.1891
2017-12-22,108.1891
2017-12-29,108.8418
2018-01-05,115.2764
2018-01-12,115.7376
2018-01-19,115.1913
2018-01-26,118.7172
2018-02-02,112.8218
2018-02-09,107.1459
2018-02-16,111.926
2018-02-23,111.453
2018-03-02,110.7148
2018-03-09,114.1691
2018-03-16,114.8499
2018-03-23,106.7016
2018-03-29,109.9552
2018-04-06,107.9056
2018-04-13,112.3058
2018-04-20,103.8422
2018-04-27,104.9745
2018-05-04,103.1327
2018-05-11,104.4347
2018-05-18,104.3913
2018-05-25,104.0725
2018-06-01,102.848
2018-06-08,105.8838
2018-06-15,105.3404
2018-06-22,102.3626
2018-06-29,101.2178
2018-07-06,103.232
2018-07-13,105.7099
2018-07-20,106.036
2018-07-27,105.1665
2018-08-03,107.0141
2018-08-10,105.8163
2018-08-17,106.9735
2018-08-24,106.9589
2018-08-31,107.2811
2018-09-07,106.5267
2018-09-14,108.636
2018-09-21,110.8479
2018-09-28,110.7453
2018-10-05,109.1487
2018-10-12,103.1577
2018-10-19,94.5521
2018-10-26,91.3955
2018-11-02,84.716
2018-11-09,91.6313
2018-11-16,90.1702
2018-11-23,86.9215
2018-11-30,92.1728
2018-12-07,88.5161
2018-12-14,88.9315
2018-12-21,82.2857
2018-12-28,83.8359
2019-01-04,87.0179
2019-01-11,90.0886
2019-01-18,91.839
2019-01-25,99.3674
2019-02-01,99.4638
2019-02-08,100.3436
2019-02-15,103.5856
2019-02-22,104.5011
2019-03-01,104.4636
2019-03-08,101.3792
2019-03-15,104.6362
